mjd,mag,magerr
51818.39754,19.369,0.016
51875.226519,19.314,0.012
52171.385646,19.427,0.012
52171.458942,19.365,0.012
52173.361899,19.335,0.012
52224.342111,19.435,0.012
52225.307392,19.429,0.012
52234.298544,19.531,0.012
52261.2619,19.46,0.013
52283.129273,19.398,0.012
52287.142395,19.391,0.014
52288.141814,19.374,0.012
52551.415101,19.41,0.012
52552.461089,19.449,0.013
52557.435447,19.464,0.012
52558.447973,19.436,0.012
52578.319582,19.421,0.012
52585.282563,19.444,0.012
52585.336777,19.463,0.012
52908.410016,19.357,0.012
52909.449195,19.328,0.012
52910.419438,19.328,0.011
52912.389455,19.343,0.012
52934.341922,19.318,0.012
52935.346609,19.314,0.011
52936.337848,19.32,0.012
52963.269688,19.363,0.011
53270.40196,19.457,0.012
53272.451846,19.416,0.018
53286.420566,19.41,0.012
53288.37906,19.421,0.014
53294.42673,19.469,0.012
53296.373778,19.437,0.019
53298.423507,19.439,0.023
53302.374729,19.453,0.012
53312.330291,19.473,0.017
53314.331459,19.482,0.02
53319.319255,19.547,0.015
53351.191992,19.373,0.015
53616.435811,19.336,0.013
53622.449041,19.314,0.012
53627.406138,19.331,0.011
53628.397103,19.365,0.013
53634.398511,19.332,0.016
53638.439847,19.332,0.026
53639.4441,19.34,0.014
53640.403884,19.276,0.013
53641.443265,19.314,0.013
53643.446359,19.326,0.013
53646.465291,19.284,0.013
53657.402149,19.34,0.012
53663.386697,19.28,0.021
53663.465708,19.281,0.023
53664.401013,19.265,0.028
53665.36467,19.324,0.02
53665.46564,19.295,0.02
53666.45678,19.308,0.02
53668.376298,19.295,0.017
53668.454257,19.313,0.015
53669.360258,19.289,0.019
53670.381151,19.327,0.015
53670.460229,19.262,0.015
53671.445006,19.303,0.015
53673.349138,19.288,0.014
53674.344496,19.264,0.011
53675.346025,19.303,0.012
53676.433948,19.265,0.012
53679.405852,19.298,0.012
53680.353723,19.309,0.013
53681.397366,19.278,0.011
53684.358864,19.298,0.013
53686.353155,19.282,0.023
53687.300178,19.198,0.023
53687.410537,19.336,0.031
53693.355613,19.274,0.043
53694.37032,19.294,0.026
53696.363084,19.299,0.023
53697.354393,19.303,0.015
53699.376449,19.287,0.015
53700.353347,19.252,0.014
53704.338934,19.289,0.012
53705.340018,19.277,0.013
53975.425046,19.267,0.013
53989.435126,19.301,0.027
53994.448023,19.244,0.021
53996.431781,19.22,0.016
53997.45859,19.239,0.022
54000.410405,19.243,0.019
54005.444929,19.28,0.023
54007.460546,19.262,0.016
54009.384328,19.281,0.015
54009.458745,19.267,0.015
54010.38591,19.257,0.017
54011.448881,19.26,0.02
54012.37874,19.267,0.021
54012.461622,19.271,0.021
54019.443824,19.282,0.023
54020.416786,19.268,0.02
54024.466301,19.232,0.029
54025.447927,19.26,0.018
54028.454574,19.233,0.035
54030.410003,19.258,0.028
54035.454041,19.28,0.018
54037.359497,19.248,0.022
54040.374003,19.224,0.019
54041.409511,19.255,0.017
54049.400414,19.219,0.02
54050.360632,19.286,0.022
54056.366438,19.22,0.032
54059.360712,19.262,0.021
54061.371796,19.274,0.019
54062.365592,19.279,0.028
54064.36206,19.259,0.023
54068.346179,19.28,0.024
54346.441652,19.247,0.017
54348.445566,19.208,0.022
54357.403904,19.217,0.016
54358.401412,19.201,0.02
54362.453736,19.22,0.025
54365.434489,19.206,0.017
54376.448825,19.255,0.029
54381.454028,19.201,0.022
54382.43392,19.229,0.022
54385.45173,19.262,0.03
54386.446393,19.264,0.02
54387.452243,19.233,0.02
54388.450698,19.264,0.016
54390.444621,19.207,0.023
54391.453042,19.224,0.022
54392.448316,19.271,0.02
54402.445424,19.251,0.027
54404.42216,19.289,0.03
54406.358283,19.215,0.034
54409.363145,19.228,0.019
54412.383987,19.269,0.022
