#Table1
z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd
0.2075965,42.06503,1040.573,-7.561283,1538.251,-8.412434,895.5942,-5.306871,500,0.02800488
0.0572172,37.65995,11.06479,-0.1774964,52.07384,-0.387391,42.65931,-0.4689156,500,0.02682822
0.2055347,37.90739,858.121,-12.90127,1431.322,-10.36662,790.969,-7.349889,500,0.01941598
0.07390003,39.32929,6401.678,-82.94209,2517.656,-19.92488,1239.828,-11.18227,500,0.03201083
0.06355042,52.27291,3924.688,-26.14967,3590.22,-11.70968,1967.854,-7.929694,500,0.02681515
0.2610683,45.10627,394.0584,-4.874403,1618.641,-14.25335,764.3887,-7.22492,500,0.02582617
0.1098744,46.37546,1613.432,-5.791482,1842.363,-5.147871,1516.804,-4.594011,500,0.0324995
0.06183716,36.47599,1773.729,-18.55326,1786.943,-12.15111,941.2366,-6.407396,500,0.04036992
0.05376228,35.72892,12.55165,-0.1613349,21.13997,-0.2838545,16.40985,-0.3272199,500,0.02082672
0.05126882,35.96066,5.747831,-0.2243974,9.382901,-0.06104484,-5.962749,0.04171914,500,0.02110549
0.05241203,41.06841,34.32181,-0.4920512,-13.95789,0.1442547,-39.86116,0.5649901,500,0.03903234
0.05463336,41.846,51.71179,-0.5842817,34.03604,-0.3452289,17.17528,-0.2663158,500,0.02438948
0.06408318,35.99238,9.788115,-0.1401047,14.40732,-0.2624714,19.28309,-0.4537653,500,0.02952423
0.05026987,35.75801,483.6237,-8.708104,1813.709,-28.28315,811.8341,-12.07912,477.6049,0.02607697
0.1331618,44.56332,9180.033,-51.75267,4795.136,-20.45918,2261.436,-11.46482,500,0.04058812
0.05456431,43.4072,64.85787,-0.4098454,61.39754,-0.4420483,61.77549,-0.6242443,500,0.02247991
0.1244479,47.32788,660.315,-8.934897,808.6858,-5.983191,511.2833,-4.543216,500,0.06539792
0.210923,36.55812,601.5096,-8.57042,1450.228,-15.90424,639.4663,-6.688317,500,0.04759682
0.05236428,35.83924,62.08293,-0.7603217,38.47177,-0.4229005,-29.10479,0.5589757,500,0.02906475
0.05120054,37.92128,38.45893,-0.4019862,43.97346,-0.5443212,23.49476,-0.4305161,500,0.03028289
0.05249519,40.5209,31.65389,-0.3238315,31.11092,-0.3260559,30.22437,-0.4139463,500,0.05156822
0.05015523,39.4217,41.10273,-0.4920362,86.44918,-0.8075885,37.38781,-0.5495617,500,0.04733186
0.06449084,38.16477,14.01007,-0.3824878,-5.378735,0.0806944,2.737275,-0.05745367,500,0.01247333
0.07390932,40.39329,12.38525,-0.3228464,13.68435,-0.3610589,6.766839,-0.1523067,500,0.03424846
0.06849016,35.35749,24.44884,-0.4134346,-11.65996,0.1727219,-8.298667,0.155551,500,0.0137136
0.05162126,35.36148,47.59574,-0.5764755,60.39161,-0.4868204,23.44148,-0.2814602,500,0.01839022
0.09262062,44.80828,1131.109,-10.9717,1590.3,-10.94744,601.8199,-4.481374,500,0.04385718
0.2402315,45.88834,2442.218,-20.32894,2368.552,-10.43072,1205.612,-6.267013,500,0.02099199
0.09423124,37.39285,11.90698,-0.3280294,-24.11391,0.4325493,-21.50467,0.4431893,500,0.01680284
0.05752024,35.21395,26.69705,-0.2480374,-27.75345,0.2128393,-51.48223,0.5236337,500,0.02694942
0.1842309,49.16934,3279.306,-53.41611,1780.146,-14.36981,836.7058,-8.032459,500,0.01408172
0.0581607,37.45279,44.25491,-0.5290315,33.89186,-0.4854688,42.19018,-0.6464881,500,0.01662156
0.05254383,36.23625,29.41502,-0.319819,12.45365,-0.2439774,-13.63574,0.1683552,500,0.02156384
0.06544808,59.48058,38.87955,-0.3869893,41.07878,-0.4400058,49.43292,-0.7321672,500,0.02441461
0.06382009,36.7074,25.94437,-0.3996667,-12.60678,0.09813543,-12.57114,0.2226655,500,0.03211977
0.1922005,46.32341,358.4321,-7.92115,637.2264,-8.170201,396.4062,-6.227839,500,0.02727352
0.2009477,42.91209,814.9982,-9.525914,3135.877,-21.42677,1397.776,-10.91753,500,0.03650901
0.1179971,50.38049,3841.355,-34.62514,4723.809,-24.48447,2257.625,-13.9918,500,0.04918799
0.1437301,45.32858,1974.528,-13.45289,2177.18,-8.205224,1118.539,-5.109233,500,0.01563415
0.06347251,44.66609,34.77575,-0.4766747,23.01826,-0.4293922,12.29553,-0.2923657,500,0.07197216
0.2876647,36.16796,528.7509,-7.704777,2066.256,-23.49095,917.9634,-10.76084,500,0.0306989
0.05069571,35.39384,80.50111,-1.001941,77.76763,-0.6958082,68.4782,-0.8889102,500,0.02324224
0.1591409,42.49717,2110.901,-42.44629,1350.098,-15.53182,768.8372,-10.06665,500,0.04080644
0.2161547,37.54329,1615.985,-9.428789,4474.285,-20.94106,1869.44,-8.850812,500,0.06868968
0.1038223,35.75325,11.69727,-0.2987444,10.95932,-0.2289201,18.34904,-0.6480563,500,0.02405703
0.2201104,36.86004,347.4914,-8.868632,832.4188,-13.21841,395.5272,-7.198588,500,0.06144398
0.1346648,40.50008,947.3425,-10.01528,2292.539,-13.14289,1127.194,-7.60513,500,0.05099057
0.05014781,36.55472,2849.511,-29.28582,3397.969,-22.88305,1610.891,-10.27112,479.2438,0.02880776
0.06174993,36.21944,45.38799,-0.4644133,-14.00491,0.1586139,-11.37842,0.1034729,500,0.008264823
0.0863796,41.11017,1020.123,-14.31766,2033.969,-13.28217,1131.383,-8.780498,500,0.01130901
0.0677386,36.5956,11.53576,-0.1095693,-3.14879,-0.09899226,4.504417,-0.1521296,500,0.02641489
0.09733227,42.15875,2074.677,-24.08595,2022.419,-11.93944,980.5318,-6.550022,500,0.0167305
0.1395377,43.6045,568.3103,-7.226767,3421.211,-30.15136,1400.953,-12.24471,500,0.03154486
0.05026412,39.49229,2367.825,-29.31319,3685.079,-28.08086,1811.943,-13.53556,500,0.06889841
0.05961546,39.52418,45.55731,-0.5716336,-8.571859,0.09768111,-9.778051,0.1864542,500,0.01073064
0.05502648,35.4505,32.1122,-0.3887452,51.18768,-0.6243421,47.54509,-0.8050793,500,0.01821248
0.1774282,40.59752,1437.593,-12.72672,1343.096,-6.451722,780.7585,-4.241206,500,0.03172235
0.1277341,42.49612,1036.479,-13.05238,2236.087,-16.60515,1256.739,-8.741285,500,0.03951375
0.07212282,35.51295,59.9053,-0.5028847,69.04453,-0.5103016,38.6208,-0.4877534,500,0.02401691
0.09159148,40.64852,847.1891,-10.80454,999.2677,-8.021374,570.4431,-4.858561,500,0.05900654
0.0508138,39.80272,-0.9678934,-0.0283503,-1.463877,-0.0538878,-15.98029,0.2241311,500,0.04602916
0.05574698,37.61929,38.95108,-0.5615697,47.10873,-0.4356185,28.25508,-0.3909745,500,0.03816396
0.06527424,43.7429,15.68395,-0.2090649,3.349619,-0.06920715,-4.795976,0.04651752,500,0.02114313
0.06603646,41.39798,22.18777,-0.2714713,-13.20331,0.02695395,4.881132,-0.1175563,500,0.04450176
0.1863378,36.23889,615.4768,-9.067629,1308.8,-11.47021,680.9434,-7.356067,500,0.01489416
0.07669801,39.10427,104.5971,-0.9446701,73.65417,-0.6838357,-26.65365,0.1796958,500,0.01365072
0.126024,39.02102,2368.631,-43.77444,926.9399,-9.680372,594.1559,-7.281822,500,0.04435388
0.0673677,44.69945,14.62204,-0.3302023,4.0751,-0.121332,16.89916,-0.4488752,500,0.02306357
0.06415562,36.65131,36.15646,-0.4684209,8.779606,-0.1936383,24.90985,-0.5041848,500,0.01811635
0.05337936,41.62952,28.53689,-0.5343207,53.13551,-0.379366,14.94958,-0.2317661,500,0.02275189
0.1617697,37.06616,455.3734,-10.90679,1354.625,-16.94715,598.671,-9.277284,500,0.03441319
0.2134592,37.89766,411.323,-5.145241,1652.594,-14.82997,848.5931,-8.607565,500,0.03172268
0.1632425,47.17627,844.8409,-5.789919,5054.773,-23.87314,2051.066,-9.944602,500,0.02267168
0.08449645,35.03407,12.53182,-0.2780029,-12.77752,0.1911075,-53.43747,0.6640933,500,0.03677392
0.05398783,36.27182,22.09426,-0.2331591,-13.36018,0.1802645,-20.3362,0.3963563,500,0.02931957
0.05738796,47.04585,103.3955,-0.4979789,-109.8656,0.4285957,-153.2262,0.6840397,500,0.01337368
0.1846759,48.04957,1473.042,-18.86394,3112.576,-20.72246,1306.929,-9.828963,500,0.1184658
0.1103326,42.97108,5745.547,-46.01173,7375.022,-31.24908,3320.828,-14.50542,500,0.0337978
0.08044197,35.819,534.6088,-8.234655,2319.595,-25.66527,1068.148,-12.44667,500,0.02060772
0.1516362,36.18653,409.7254,-7.877422,503.3342,-5.502056,373.9045,-5.00507,500,0.03367133
0.05348795,36.37178,876.6531,-9.687435,2276.364,-15.99699,1263.183,-10.11903,500,0.01755651
0.05919914,36.58686,43.83395,-0.8728964,33.56794,-0.394253,46.41902,-0.8239529,500,0.03877603
0.08289477,39.20909,61.13594,-0.8675305,30.93255,-0.3888011,16.63278,-0.2501303,500,0.05492552
0.2688824,43.70459,277.1395,-3.645309,1758.446,-17.37642,710.2274,-6.612545,500,0.05115553
0.05566793,37.32341,27.08191,-0.255399,-27.32379,0.3332666,-37.04006,0.5732407,500,0.02901569
0.07700984,45.00049,1623.558,-8.909379,1357.127,-5.379469,942.168,-4.573113,500,0.0183279
0.1341881,43.63135,881.886,-13.83867,1311.827,-13.2989,560.2008,-5.077151,500,0.03179598
0.05300264,35.85763,48.53039,-0.5679414,-11.13084,0.03064221,-45.87267,0.5381837,500,0.02712379
0.2942613,40.16784,364.8781,-2.481773,2682.965,-16.98236,1132.911,-6.954131,500,0.0362667
0.05435418,36.49837,4931.464,-60.10292,2138.112,-15.47931,1174.936,-9.347951,500,0.04571947
0.07818574,35.85813,12.25824,-0.3038042,1.130156,-0.1083792,-0.1927552,-0.05048189,500,0.02662667
0.06029864,37.61605,34.38978,-0.585045,20.10234,-0.3151366,15.74948,-0.3063659,500,0.03616071
0.07723631,45.4135,1940.391,-27.65263,2203.247,-17.19365,1166.518,-10.28885,500,0.03000705
0.08162035,40.31264,14.25926,-0.1782407,11.72359,-0.1742419,7.504168,-0.1553128,500,0.02570347
0.06029896,52.31209,70.97681,-0.5593067,-51.42307,0.3614495,-57.75102,0.5167919,500,0.01049321
0.2679094,45.61032,591.0836,-3.896324,2752.637,-14.3843,1433.392,-7.395362,500,0.01369871
0.1568366,46.05091,1016.134,-8.337545,1328.481,-6.315646,1036.297,-5.942286,500,0.04993869
0.05843759,38.88598,61.28471,-0.5052013,-29.36623,0.1722461,-27.85265,0.3737068,500,0.01782228
0.2527351,45.6013,1366.708,-8.04793,2892.682,-12.84545,1262.231,-6.00423,500,0.04490913
0.07246289,35.47546,26.44753,-0.4430646,29.21882,-0.5293303,2.604691,-0.1147451,500,0.03426394
0.06294216,35.17665,31.14177,-0.4270622,22.63772,-0.3536663,39.83413,-0.8816518,500,0.02614157
0.1807287,36.42577,0.7705069,-0.08545488,289.9603,-2.628795,245.5759,-1.994145,500,0.02854004
0.05552557,38.75946,33.85608,-0.4303996,23.11037,-0.2957833,-0.2995403,0.05153869,500,0.04045163
0.09969537,35.64167,514.6418,-6.332394,568.3914,-4.384429,499.6391,-4.456197,500,0.02095873
0.05204447,42.91232,98.84383,-0.7379942,-56.45498,0.2555715,-127.4218,0.8115009,500,0.04173993
0.136087,44.46289,724.6421,-5.677571,4356.603,-24.24099,1787.17,-10.53013,500,0.04312729
0.07311015,36.44063,22.04308,-0.3224268,-2.944934,0.03213946,4.335423,-0.1079272,500,0.04463285
0.09744303,43.59363,20.24574,-0.4385408,-14.65174,0.3385674,-38.68391,0.8176423,500,0.0224152
0.06329135,42.93248,7877.747,-106.8469,2802.729,-25.17962,1377.287,-11.45144,500,0.02759106
0.05500177,36.0172,39.61227,-0.3870516,5.740897,0.0128014,-26.1969,0.2544358,500,0.05022898
0.05207504,36.4759,60.32346,-0.6829518,78.65923,-0.8172466,30.21829,-0.5600677,500,0.0320962
0.0551085,36.59348,1897.624,-28.38844,1186.639,-9.49496,639.1501,-6.485289,500,0.03021897
0.2967729,40.6056,440.1302,-4.268719,2577.094,-16.616,1179.156,-8.15502,500,0.04973055
0.06738997,46.68539,13407.49,-116.6997,4510.373,-27.85945,2181.303,-13.60655,500,0.02857031
0.265141,37.61324,1067.94,-16.73277,944.1344,-8.781984,515.9789,-5.341496,500,0.0144214
0.08424754,37.02034,618.4948,-5.603537,498.1334,-3.723757,395.2115,-3.298883,500,0.03708306
0.06449452,50.02684,3867.807,-21.08663,6220.282,-21.8575,2802.708,-8.845398,442.2415,0.02924547
0.05542276,35.31345,53.83129,-0.6963661,41.31384,-0.4717567,-6.257751,0.1186674,500,0.01054991
0.1743191,42.52341,2595.664,-26.08261,3329.567,-17.07933,1574.868,-9.529902,500,0.04324507
0.1490557,36.40572,545.1528,-10.0706,1958.264,-20.19644,942.7999,-11.76659,500,0.04924946
0.07063182,41.53558,15.33456,-0.3747416,-39.59343,0.4712973,-27.31274,0.4659441,500,0.01452904
0.05480479,39.35858,43.77386,-0.4562659,35.88597,-0.3188329,-2.72559,0.06313526,500,0.02486286
0.05767728,40.73911,81.40005,-1.167375,7.54583,-0.239673,-0.6218255,-0.03024171,500,0.01048433
0.05427433,42.33162,61.95053,-0.8515339,69.07693,-0.6654313,59.77706,-0.9255849,469.3986,0.02707811
0.05618459,36.5116,49.15621,-0.4519883,36.65266,-0.3301932,9.635471,-0.1941606,500,0.08578774
0.1188412,41.91333,1147.539,-6.33947,5024.298,-21.31766,2172.032,-9.054416,500,0.04138075
0.2407427,48.28221,1036.604,-4.510466,1351.735,-4.530081,1134.435,-3.70849,500,0.03843554
0.2848447,40.27559,1063.173,-7.651133,3167.782,-16.67516,1516.804,-8.640867,500,0.01505516
0.1269882,37.49222,752.4831,-6.423095,942.4144,-5.208287,564.974,-3.904174,500,0.01675888
0.2399645,41.02163,436.7917,-4.6191,1138.498,-8.113574,633.1625,-4.955066,500,0.01753805
0.05304905,37.67839,23.31484,-0.2942104,22.02636,-0.2344406,-8.243493,0.09309307,500,0.02916115
0.05455149,35.15771,17.72957,-0.2887175,35.12908,-0.566705,11.79635,-0.266881,500,0.02437059
0.05044142,36.63213,5.620809,0.02323344,10.83558,-0.08907314,3.20245,-0.09125423,500,0.02209737
0.1601164,44.49894,565.23,-7.878808,3359.375,-25.75145,1305.886,-10.41472,500,0.01523244
0.05378993,49.84877,68.22971,-0.6703065,31.95845,-0.2871156,-35.45596,0.5899921,500,0.04458043
0.197447,46.57478,96.79306,-0.5780233,773.0198,-3.646176,666.3454,-3.372039,500,0.02654593
0.06196309,44.36957,6.801384,-0.2921901,15.88499,-0.1329573,21.52706,-0.3414301,500,0.01415497
0.1145197,38.66998,951.3359,-5.843085,2711.675,-12.26691,1324.708,-6.42264,500,0.02625755
0.05224967,37.26434,52.88428,-0.4475668,38.21439,-0.4170801,3.257305,-0.1243994,500,0.05689964
0.1717544,45.54197,737.1542,-5.34174,835.9516,-3.91738,856.78,-4.44549,500,0.04689745
0.06283478,40.78841,10.26478,-0.2918055,-0.3670236,-0.06396752,3.04072,-0.06058547,500,0.04306542
0.06160719,39.0475,19.29954,-0.2522535,-16.32993,0.005972404,-17.85404,0.1754645,500,0.03093503
