,z,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd,oiii/hb,hb/hg,oiii/hg
0,0.06408318,35.99238,9.788115,-0.1401047,14.40732,-0.2624714,19.28309,-0.4537653,500.0,0.02952423,0.6793848543656974,0.7471478896795067,0.5076009602195498
1,0.05584501,46.64406,19.82373,-0.3770796,25.58339,-0.3823562,13.24257,-0.2524038,500.0,0.0331967,0.7748672087631858,1.9319052117527036,1.496969999025869
2,0.5896417,37.99472,553.8297,-9.838335,1035.502,-12.73695,430.0921,-5.641462,500.0,0.04080473,0.5348417482535042,2.407628505615425,1.2877002390883254
3,0.05894792,35.8004,89.5265,-1.253272,92.86768,-0.8762947,76.4057,-0.9928051,500.0,0.03713184,0.9640221441948372,1.2154548678959816,1.1717254079211368
4,0.05427433,42.33162,61.95053,-0.8515339,69.07693,-0.6654313,59.77706,-0.9255849,469.3986,0.02707811,0.896833863346272,1.1555759015247655,1.0363596001543067
5,0.5008188,42.20441,720.553,-13.84069,798.7177,-9.304626,419.5505,-5.540572,500.0,0.03326718,0.9021372632658572,1.90374627130703,1.717440451149504
6,0.05151316,36.87033,14.53777,-0.1646006,-0.2144192,-0.036408,11.04452,-0.1575452,500.0,0.01265944,-67.80069135599797,-0.019414080467055155,1.3162880777073154
7,0.07885244,46.30328,4883.344,-25.73394,8040.256,-20.80499,3266.457,-9.624524,500.0,0.01104522,0.6073617556455914,2.4614608427418454,1.4949971789005643
8,0.595322,38.83265,281.3248,-6.91487,677.1182,-9.859278,210.7526,-3.735706,500.0,0.03354528,0.41547369425308606,3.2128581094610458,1.3348580278487667
9,0.06349286,41.707,55.36174,-0.8056456,54.44826,-0.7344704,30.27617,-0.4610103,500.0,0.02584593,1.016777028320097,1.798386651944417,1.8285582357345727
10,0.07390003,39.32929,6401.678,-82.94209,2517.656,-19.92488,1239.828,-11.18227,500.0,0.03201083,2.5427135398958396,2.0306494126604657,5.163359756353301
11,0.1773402,40.45856,6584.295,-50.16125,2174.339,-9.267194,1347.224,-6.443219,500.0,0.015641,3.0281823579487837,1.613940220779915,4.887305303349703
