#Table1
plate,mjd,fiberid,z,z1,snmedian_g,oiii_5007_flux,oiii_5007_eqw,h_beta_flux,h_beta_eqw,h_gamma_flux,h_gamma_eqw,sigma_balmer,e_bv_sfd
637,52174,259,0.5993487,0.5993487,55.62587,1007.524,-3.956712,3992.194,-11.40223,1681.008,-5.103444,500,0.07477354
640,52178,513,0.4174148,0.4174148,38.40232,318.3071,-5.149707,952.4866,-10.36639,541.1448,-6.109486,500,0.09496573
1843,53816,584,0.4980763,0.4980763,37.60687,249.477,-10.94297,557.34,-12.03965,232.5813,-6.070393,500,0.01577194
2173,53874,354,0.4557629,0.4557629,41.83422,328.9943,-11.59435,509.9599,-11.65119,204.3893,-4.860476,500,0.05542863
2526,54582,404,0.4583784,0.4583784,38.87679,325.5394,-5.393373,965.0396,-11.94227,478.3983,-6.25666,500,0.05439631
1716,53827,350,0.5008188,0.5008188,42.20441,720.553,-13.84069,798.7177,-9.304626,419.5505,-5.540572,500,0.03326718
411,51817,381,0.5324706,0.5324706,38.94154,552.5841,-4.864962,1313.903,-10.74767,428.4151,-3.299541,500,0.08810838
1224,52765,379,0.5228383,0.5228383,35.82532,453.2127,-5.81275,1333.446,-12.69335,487.05,-4.627244,500,0.04002199
2347,53757,151,0.5113347,0.5113347,45.36636,1001.238,-20.08843,1452.441,-16.70732,670.8977,-8.765741,500,0.02648882
856,52339,50,0.4271503,0.4271503,37.55112,709.0454,-8.295594,2298.788,-19.17619,998.02,-8.716237,500,0.03264315
897,52605,242,0.5136945,0.5136945,50.42645,249.2819,-4.062997,1483.066,-16.58844,669.5095,-7.557619,500,0.03365997
939,52636,172,0.4219211,0.4219211,43.08856,298.0036,-4.9522,575.824,-5.977588,338.8394,-3.974574,500,0.01403132
268,51633,235,0.595322,0.595322,38.83265,281.3248,-6.91487,677.1182,-9.859278,210.7526,-3.735706,500,0.03354528
795,52378,528,0.5607508,0.5607508,39.19305,291.8894,-8.39417,625.2177,-12.8672,331.0123,-6.966084,500,0.01193781
2645,54477,133,0.4930311,0.4930311,35.83502,749.1631,-22.51639,937.1426,-14.06366,380.9955,-6.25501,500,0.02225282
2520,54584,442,0.4358573,0.4358573,41.44227,631.3001,-67.54519,178.4678,-11.22126,103.8488,-7.535292,500,0.05334958
555,52266,74,0.4688599,0.4688599,37.74508,352.2626,-10.81072,552.9328,-10.00354,257.3792,-5.456733,500,0.02161665
976,52413,574,0.4689836,0.4689836,41.443,333.6759,-4.834087,1784.66,-20.90205,760.7375,-8.931453,500,0.03079161
644,52173,413,0.5896417,0.5896417,37.99472,553.8297,-9.838335,1035.502,-12.73695,430.0921,-5.641462,500,0.04080473
767,52252,300,0.5540618,0.5540618,43.88274,236.975,-2.786058,934.5037,-8.894829,600.4539,-5.820669,500,0.01614243
2034,53466,230,0.5083145,0.5083145,41.74193,806.2338,-4.63887,2134.027,-10.54055,808.8143,-4.718386,500,0.02323727
1810,53794,504,0.4596158,0.4596158,43.37709,291.4393,-5.339395,1133.808,-14.90093,465.4471,-6.290664,500,0.02485074
2646,54479,204,0.4338264,0.4338264,43.67911,243.7922,-2.156862,1557.825,-9.889492,813.9636,-6.082488,500,0.02289122
408,51821,611,0.5689139,0.5689139,39.40358,1204.775,-26.69479,927.9932,-11.62149,437.2401,-5.955662,500,0.03383083
721,52228,454,0.502505,0.502505,37.19617,232.9132,-14.9887,574.8325,-20.61713,236.7077,-8.898745,500,0.05165878
1694,53472,540,0.5119441,0.5119441,38.52225,390.2738,-4.687064,1848.843,-16.54789,642.0489,-6.035479,500,0.0279867
1754,53385,324,0.4343848,0.4343848,37.57466,826.9564,-15.18375,1279.667,-15.685,557.6337,-6.921477,500,0.03020268
564,52224,471,0.5112072,0.5112072,76.94443,529.0925,-4.118898,2766.907,-16.15146,1190.82,-7.465265,500,0.03008878
1592,52990,18,0.5841894,0.5841894,41.02424,350.3535,-9.042761,459.9291,-6.518604,300.9683,-4.497528,500,0.01962814
656,52148,282,0.4236842,0.4236842,40.15984,472.5421,-5.247416,1365.047,-12.31159,651.0966,-6.031228,500,0.02947504
465,51910,603,0.5496119,0.5496119,36.68675,3134.304,-62.72372,799.0661,-11.59554,408.7592,-7.305792,500,0.0680838
2512,53877,582,0.5215923,0.5215923,38.17165,278.7357,-4.728466,673.3281,-6.979514,302.8383,-3.349067,500,0.04497579
554,52000,553,0.4736708,0.4736708,46.64525,1027.885,-17.50509,961.0248,-8.415974,536.0227,-5.495123,500,0.02523354
464,51908,576,0.5702274,0.5702274,54.94003,148.7329,-2.41747,367.0603,-3.915135,323.8767,-3.742576,500,0.0965671
2425,54139,442,0.5659922,0.5659922,35.09197,506.2195,-18.0927,422.1902,-7.778267,262.1238,-5.949778,500,0.04197626
329,52056,577,0.4580766,0.4580766,37.19682,818.7128,-21.4657,1135.089,-15.52481,561.2687,-8.651393,500,0.02008798
1949,53433,472,0.5306148,0.5306148,45.04419,3442.043,-29.74846,1219.554,-9.254515,834.9734,-5.825003,500,0.01484899
793,52370,549,0.513281,0.513281,36.3247,379.778,-13.9523,481.7625,-8.881385,178.8986,-4.022135,500,0.01412164
2606,54154,614,0.552017,0.552017,42.94479,359.146,-2.357616,1450.117,-9.709053,733.9569,-4.70366,500,0.02188222
498,51984,104,0.4614837,0.4614837,35.63981,231.4059,-6.52823,462.6565,-10.74795,197.1892,-4.494105,500,0.01426796
1844,54138,112,0.5256413,0.5256413,47.78228,421.6413,-5.08271,717.105,-6.350803,393.4597,-3.576271,500,0.02177914
1791,54266,46,0.4389866,0.4389866,35.10212,386.1707,-7.081067,1027.594,-17.74196,450.6133,-8.417259,500,0.02399247
402,51793,479,0.5524943,0.5524943,41.70284,405.3788,-5.045251,1318.962,-11.35889,567.8525,-5.18898,500,0.03973217
561,52295,618,0.4208928,0.4208928,35.42601,2170.055,-49.81762,625.7569,-8.85923,354.9992,-5.339982,491.7117,0.01354015
1773,53112,301,0.4975437,0.4975437,42.6002,599.5065,-7.904873,651.824,-6.771779,494.7891,-5.055132,500,0.02385371
1847,54176,630,0.4473778,0.4473778,42.56288,821.5318,-12.61573,1699.505,-13.29521,782.9147,-7.130598,500,0.02485514
