#Table1
specobjid,ra,dec,plate,mjd,fiberid,z,h_beta_flux
1451335603323955200,220.51177,43.619106,1289,52734,184,0.2313373,874.7607
1482837161735645184,192.13969,56.585413,1317,52765,98,0.2657985,46.20585
2272222206413006848,196.31711,39.217192,2018,53800,568,0.176591,203.922
2357807642618914816,206.90607,30.214521,2094,53851,630,0.1175316,1342.066
2382547204050020352,208.81185,29.924557,2116,53854,520,0.2972019,150.8058
2389279519182710784,210.51982,29.663019,2122,54178,436,0.1963692,356.9352
2389214647996672000,210.49859,29.570246,2122,54178,200,0.2972041,268.0277
2356542379059603456,198.5268,31.979088,2093,53818,123,0.176481,248.2047
2375791248360368128,202.72198,31.325163,2110,53467,518,0.2419603,375.6497
3137990319124015104,215.96859,22.795965,2787,54552,390,0.2813598,140.2599
953790643669329920,192.56757,4.9625196,847,52426,558,0.2331841,230.7752
587831935514994688,191.46262,3.3579021,522,52024,408,0.226549,274.9844
2015490640648890368,191.35987,7.7321018,1790,53876,472,0.2815173,25.76958
883844110497114112,203.63985,60.145829,785,52339,46,0.2926344,200.5956
889500824655390720,218.73048,57.395905,790,52441,145,0.1739174,253.0201
884998597370734592,207.01705,60.525189,786,52319,150,0.2376035,687.257
1513234535528032256,204.15271,42.159497,1344,52792,91,0.2227076,610.4956
1551647902902806528,210.03039,40.899355,1378,53061,574,0.1676342,174.0111
1515484961455499264,210.25677,40.908822,1346,52822,86,0.2068584,1116.408
1887078390532433920,223.15788,44.992343,1676,53147,255,0.2355146,272.791
1888138319758387200,228.58553,42.745965,1677,53148,15,0.1503511,311.1623
1882569848354007040,213.89977,48.595465,1672,53460,237,0.2744993,457.9528
2518761301132470272,190.05443,31.04538,2237,53828,448,0.235612,43.81033
2254199556046612480,200.24758,29.957824,2002,53471,538,0.20616,655.6048
2375660681354569728,203.17159,30.018503,2110,53467,43,0.2203435,110.4959
1929904649586894848,222.70887,12.843315,1714,53521,408,0.2603083,177.4319
3091857004877080576,215.41044,15.346088,2746,54232,494,0.2311233,592.7064
1024640148484155392,201.49542,-3.5138744,910,52377,259,0.1854109,159.8737
1442434232382154752,198.21835,50.274436,1281,52753,569,0.2491418,99.44942
1450223997017942016,217.3924,44.79691,1288,52731,236,0.2076394,189.9836
1452448309091264512,224.10001,42.300066,1290,52734,136,0.1898469,484.8739
1520032815821907968,220.96363,37.877341,1350,52786,247,0.2959745,280.5206
1521115010208655360,224.60194,36.522096,1351,52790,88,0.2460663,840.9855
2044749745297057792,226.81384,8.3091766,1816,53919,420,0.1642324,1217.472
1924226221986572288,217.50821,10.224781,1709,53533,230,0.2416667,292.4267
2397045920807020544,215.62643,29.873393,2129,54252,18,0.113312,562.6619
2401556386761697280,217.87338,29.286588,2133,53917,43,0.255357,370.9969
2406194681412085760,219.70347,28.598913,2137,54206,533,0.1996945,119.1435
3123256863009826816,218.82356,18.932089,2774,54534,38,0.2587776,221.7117
339045713000294400,210.12558,0.36905672,301,51942,545,0.2585477,312.2499
1180105051360749568,224.5765,48.675964,1048,52736,589,0.2081537,852.7242
1182320841916966912,228.35794,46.902233,1050,52721,458,0.1993452,1546.94
1182355476533241856,230.03427,46.270924,1050,52721,584,0.1763156,145.867
1175540699219650560,210.20925,53.406826,1044,52468,368,0.1746438,1157.279
1642709456854738944,197.36168,45.715832,1459,53117,78,0.2682051,134.0795
2001927889959806976,208.13674,12.722587,1778,53883,283,0.2384233,99.04922
1876898291996715008,200.27492,50.776252,1667,53430,84,0.2330132,381.1491
1883704819265333248,215.72281,47.547862,1673,53462,270,0.199074,67.73324
1879144319424686080,207.08758,50.060245,1669,53433,63,0.2932138,719.9677
1851075431986391040,214.49271,36.128169,1644,53144,349,0.2119145,765.9966
1852135361665329152,219.21463,34.600671,1645,53172,109,0.2961887,49.70665
1857884708000524288,231.11947,30.543761,1650,53174,545,0.2739726,2162.26
2996170910538426368,193.53826,25.923542,2661,54505,550,0.1956688,280.6693
2997267948265039872,195.57303,25.720622,2662,54505,445,0.2745785,285.3338
592341862166063104,199.89889,2.3731288,526,52312,431,0.2619666,287.547
599153331348203520,213.05674,2.200604,532,51993,635,0.2951642,117.3503
607011816232478720,226.08712,1.8665079,539,52017,552,0.1827677,118.7833
607021162081314816,226.54376,2.2805647,539,52017,586,0.1346648,2292.539
959362692865353728,200.34754,4.991854,852,52375,349,0.2424925,524.1245
1173324912723519488,204.80162,53.924281,1042,52725,499,0.2935225,331.5244
1173355149293283328,206.31885,54.157046,1042,52725,609,0.2215805,526.8307
1515537738013632512,208.69938,42.111521,1346,52822,278,0.2318444,245.0868
1520017972414932992,220.53208,38.736495,1350,52786,193,0.1456012,789.1295
1515493207792707584,210.5023,42.078201,1346,52822,116,0.1680428,343.0688
2416237346144937984,224.03606,27.835764,2146,54230,204,0.2483222,1012.94
331159741466175488,196.98572,1.1193517,294,51986,528,0.2754462,556.1118
597909784284391424,209.62326,1.152386,531,52028,207,0.243979,273.9038
1173271586409572352,202.56715,52.850517,1042,52725,305,0.1615461,385.3743
1887150683421960192,224.57262,45.920802,1676,53147,518,0.2855433,1055.885
1172140188927813632,200.4954,52.744747,1041,52724,285,0.2799852,334.2975
1882604482970281984,213.98855,49.892939,1672,53460,363,0.1854482,237.2337
1882674851714459648,216.18987,49.388313,1672,53460,619,0.1798888,942.0079
2270989648408897536,205.87458,28.055933,2017,53474,180,0.2275464,210.1016
2270986349874014208,205.95884,28.034967,2017,53474,168,0.2114582,172.4877
953802738297235456,192.7127,6.1527773,847,52426,602,0.1820049,635.4926
1524596614180661248,231.12225,35.25613,1354,52814,466,0.2494513,252.4941
1513378571551270912,204.65302,44.245134,1344,52792,615,0.2574271,167.0749
557462049362307072,195.22941,67.417914,495,51988,515,0.255159,212.8707
559692408716027904,204.86595,66.483574,497,51989,437,0.1361378,503.2493
