C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST10:39:53

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# 	 obj tags 	obj count	    raw id    	            identifier             	typ	       coord1 (ICRS,J2000/2000)        	     rv/z      	   radvel    	  redshift  	      cz      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	Mag I 	  spec. type   	#bib	#not
--	----------	---------	--------------	-----------------------------------	---	---------------------------------------	---------------	-------------	------------	--------------	---------	---------	---------	---------	------	---------------	----	----
1 	d         	        1	B 0019-0001   	ICRF J002225.4+001456              	Sy2	00 22 25.42584644 +00 14 56.1630395    	z     0.30596  	78178        	0.30596     	91724.5       	     ~   	21.1     	     ~   	     ~   	     ~	~              	 119	   1
2 	d         	        1	3C 43         	3C 43                              	QSO	01 29 59.7696120312 +23 38 20.041393524	z     1.464670 	215041       	1.464670    	439097.02     	     ~   	     ~   	     ~   	     ~   	     ~	~              	 202	   1
3 	d         	        1	RX J0134-4258 	2MASS J01341690-4258262            	Sy1	01 34 16.9072341600 -42 58 26.223391344	cz 71091.0     	62849        	0.23713     	71091.0       	     ~   	18.17    	17.30    	16.71    	     ~	~              	  76	   1
4 	d         	        1	3C 48         	3C 48                              	QSO	01 37 41.2996631208 +33 09 35.080388820	z     0.369    	91180        	0.369       	110623        	     ~   	16.62    	16.20    	     ~   	     ~	~              	2822	   2
5 	d         	        1	3C 67         	7C 022118.10+273638.00             	Sy1	02 24 12.2865158736 +27 50 11.538285648	z     0.310101 	79062        	0.310101    	92965.94      	     ~   	19.502   	18       	18.263   	     ~	~              	 209	   1
6 	d         	        1	B 0237-233    	QSO B0237-2322                     	QSO	02 40 08.1743783856 -23 09 15.729012036	z     2.225    	247200       	2.225       	667038        	     ~   	16.78    	16.63    	     ~   	     ~	~              	 506	   1
7 	d         	        1	PKS 0252-71   	PKS 0252-712                       	rG 	02 52 46.15578 -71 04 35.2742          	z     0.566    	126118       	0.566       	169683        	     ~   	19.0     	19.0     	     ~   	     ~	~              	 100	   1
8 	d         	        1	3C 93.1       	3C 93.1                            	BLL	03 48 46.9073426592 +33 53 15.461439576	z     0.243498 	64318        	0.243498    	72998.86      	     ~   	20.723   	     ~   	19.110   	     ~	~              	 131	   1
9 	d         	        1	B 0457+24     	QSO J0459+0229                     	QSO	04 59 52.05066296 +02 29 31.1765162    	z     2.38     	251534       	2.38        	713506        	     ~   	18.2     	19       	     ~   	     ~	~              	 163	   2
10	d         	        1	3C 138        	ICRF J052109.8+163822              	Sy1	05 21 09.88596258 +16 38 22.0515459    	z     0.76     	153467       	0.76        	227842        	     ~   	19.37    	18.84    	18.480   	     ~	~              	 857	   1
11	d         	        1	B 0537+6444   	[VV2000] J054210.0+644633          	QSO	05 42 10.0251297768 +64 46 32.308992696	z     2.41     	252312       	2.41        	722500        	     ~   	     ~   	19.50    	     ~   	     ~	~              	   7	   0
12	d         	        1	3C 147        	ICRF J054236.1+495107              	Sy1	05 42 36.13789710 +49 51 07.2337139    	z     0.55     	123574       	0.55        	164886        	     ~   	18.45    	17.80    	17.210   	     ~	~              	1502	   1
13	d         	        1	B 0544+5847   	[VV2000] J054827.0+584756          	QSO	05 48 26.9657823024 +58 47 55.838614992	z     2.8      	260959       	2.8         	839419        	     ~   	     ~   	19.40    	     ~   	     ~	~              	   8	   0
14	d         	        1	B 0601+5753   	[VV2000] J060542.2+575317          	QSO	06 05 42.22751560 +57 53 16.3562214    	z     1.8      	231966       	1.8         	539626        	     ~   	     ~   	19.80    	     ~   	     ~	~              	  20	   0
15	d         	        1	3C 186        	3C 186                             	QSO	07 44 17.4720658920 +37 53 17.250697320	z     1.06551  	185940       	1.06551     	319431.9      	     ~   	17.5     	18.14    	17.2     	     ~	~              	 325	   1
