C.D.S.  -  SIMBAD4 rel 1.8  -  2024.05.31CEST08:36:27

2009MNRAS.398.1905W2009MNRAS.398.1905W
--------------------------------------

2009MNRAS.398.1905W
10.1111/j.1365-2966.2009.15127.x

Mon. Not. R. Astron. Soc., 398, 1905-1914 (2009/October-1)
The black hole mass, Eddington ratio and M_BH_-{sigma}_[Oiii]_relation in young
radio galaxies.
WU Q.

-Files: (abstract)
-Simbad objects: 65

Number of objects : 65

# ; obj tags ;obj count;    raw id    ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;Mag I ;  Mag J  ;  Mag H  ;  Mag K  ;  Mag u  ;  Mag g  ;  Mag r  ;  Mag i  ;  Mag z  ;  spec. type   ;#bib;#not
--;----------;---------;--------------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;------;---------;---------;---------;---------;---------;---------;---------;---------;---------------;----;----
1 ;d         ;        1;B 0019-0001   ;ICRF J002225.4+001456              ;Sy2;00 22 25.42584644 +00 14 56.1630395    ;     ~   ;21.1     ;     ~   ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;21.922   ;20.395   ;18.905   ;18.277   ;17.874   ;~              ; 119;   1
2 ;d         ;        1;3C 43         ;3C 43                              ;QSO;01 29 59.7696120312 +23 38 20.041393524;     ~   ;     ~   ;     ~   ;     ~   ;21.036922;     ~;     ~   ;     ~   ;     ~   ;20.4769  ;20.5183  ;20.1342  ;19.7883  ;19.6524  ;~              ; 202;   1
3 ;d         ;        1;RX J0134-4258 ;2MASS J01341690-4258262            ;Sy1;01 34 16.9072341600 -42 58 26.223391344;     ~   ;18.17    ;17.30    ;16.71    ;16.334505;     ~;15.249   ;14.516   ;13.525   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;  76;   1
4 ;d         ;        1;3C 48         ;3C 48                              ;QSO;01 37 41.2996631208 +33 09 35.080388820;     ~   ;16.62    ;16.20    ;     ~   ;15.929190;     ~;14.585   ;13.806   ;12.719   ;16.616   ;16.153   ;15.828   ;15.860   ;15.446   ;~              ;2822;   2
5 ;d         ;        1;3C 67         ;7C 022118.10+273638.00             ;Sy1;02 24 12.2865158736 +27 50 11.538285648;     ~   ;19.502   ;18       ;18.263   ;19.937653;     ~;     ~   ;     ~   ;15.250   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 209;   1
6 ;d         ;        1;B 0237-233    ;QSO B0237-2322                     ;QSO;02 40 08.1743783856 -23 09 15.729012036;     ~   ;16.78    ;16.63    ;     ~   ;16.235851;     ~;15.116   ;14.515   ;13.636   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 506;   1
7 ;d         ;        1;PKS 0252-71   ;PKS 0252-712                       ;rG ;02 52 46.15578 -71 04 35.2742          ;     ~   ;19.0     ;19.0     ;     ~   ;     ~   ;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 100;   1
8 ;d         ;        1;3C 93.1       ;3C 93.1                            ;BLL;03 48 46.9073426592 +33 53 15.461439576;     ~   ;20.723   ;     ~   ;19.110   ;21.106419;     ~;     ~   ;     ~   ;14.390   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 131;   1
9 ;d         ;        1;B 0457+24     ;QSO J0459+0229                     ;QSO;04 59 52.05066296 +02 29 31.1765162    ;     ~   ;18.2     ;19       ;     ~   ;18.792099;     ~;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 163;   2
10;d         ;        1;3C 138        ;ICRF J052109.8+163822              ;Sy1;05 21 09.88596258 +16 38 22.0515459    ;     ~   ;19.37    ;18.84    ;18.480   ;18.390406;     ~;16.767   ;16.157   ;15.432   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ; 857;   1
